THEA,Theatre,Meadows School of the Arts,Theatre
TROM,Trombone,Meadows School of the Arts,Music
TRPT,Trumpet,Meadows School of the Arts,Music
TUBA,Tuba,Meadows School of the Arts,Music
UGRD,Undergraduate,Dedman College,Southern Methodist University
UHP,University Honors Program,Dedman College,University Honors Program
VIOL,Violin,Meadows School of the Arts,Music
VLA,Viola,Meadows School of the Arts,Music
VOIC,Voice,Meadows School of the Arts,Music
WGST,Women's & Gender Studies,Dedman College,Women's & Gender Studies
WL,World Languages & Literatures,Dedman College,World Languages & Literatures
WLAN,World Languages,Dedman College,World Languages & Literatures
WO,Christian Worship,Perkins School of Theology,Perkins School of Theology
WRTR,Writing and Reasoning,Dedman College,Writing and Reasoning
WX,World Christianity,Perkins School of Theology,Perkins School of Theology
XS,Christianity and Society,Perkins School of Theology,Perkins School of Theology
XX,Extra-Divisional Courses,Perkins School of Theology,Perkins School of Theology
ZASE,ASE Abroad,International Center,International Ctr/Edu Abroad
ZPRV,Study Abroad Provider Program,International Center,International Ctr/Edu Abroad
HELP,Help Desk,Office of Information Technology,Customer Service
INFR,Infrastructure,Office of Information Technology,Infrastructure
SECR,Security,Office of Information Technology,Security
TECH,Academic Technology,Office of Information Technology,Academic Technology
REAS,Research Technology Services,Office of Information Technology,Academic Technology
REAS,Research and Scholarly Initiatives,Libraries,Research and Scholarly Initiatives
ODON,O’Donnell Data Science and Research Computing Institute,Provost,O’Donnell Data Science and Research Computing Institute
DCII,Dedman College Interdisciplenary Institute,Dedman College,Dedman College Interdisciplenary Institute
DART,Data Arts,Meadows School of the Arts, Data Arts
CORE,Center on Research and Evaluation,Simmons School Edu & Human Dev,Center on Research and Evaluation
ORI,Office of Research and Innovation,Provost,Office of Research and Innovation
BETA,Beta Department,Beta Academic Group,Beta Academic Organization
TEST,Test Department,Test Academic Group,Test Academic Organization
